"","species","sdm_max_value","inat_n_obs"
"1","Accipiter cooperii",0.976515829563141,0
"2","Accipiter gentilis",0.947767674922943,0
"3","Accipiter striatus",0.964999973773956,2
"4","Actitis macularius",0.95898562669754,1
"5","Aechmophorus clarkii",0.298371136188507,0
"6","Aechmophorus occidentalis",0.962610423564911,1
"7","Aegolius acadicus",0.950834810733795,0
"8","Aegolius funereus",0.711736977100372,0
"9","Aeronautes saxatalis",NA,0
"10","Agelaius phoeniceus",0.916041970252991,14
"11","Aix sponsa",0.926335453987122,10
"12","Ambystoma gracile",0.980000019073486,45
"13","Ambystoma macrodactylum",0.936645984649658,6
"14","Ammodramus savannarum",0.751087129116058,0
"15","Anas acuta",0.945306956768036,0
"16","Anas americana",0.960928678512573,0
"17","Anas clypeata",0.911761581897736,0
"18","Anas crecca",0.933000028133392,3
"19","Anas cyanoptera",0.909700810909271,1
"20","Anas discors",0.942816972732544,0
"21","Anas penelope",0.975518107414246,0
"22","Anas platyrhynchos",0.980908930301666,32
"23","Anas strepera",0.889498889446259,0
"24","Anaxyrus boreas",0.897000014781952,0
"25","Aneides vagrans",NA,0
"26","Anser albifrons",0.976007223129272,4
"27","Anthus rubescens",0.96026873588562,1
"28","Aquila chrysaetos",0.883305311203003,0
"29","Archilochus alexandri",0.119128167629242,0
"30","Ardea herodias",0.981899678707123,28
"31","Arenaria melanocephala",0.992416262626648,7
"32","Ascaphus truei",0.917166292667389,0
"33","Asio flammeus",0.975525975227356,0
"34","Asio otus",0.972437083721161,0
"35","Aythya affinis",0.969754815101624,3
"36","Aythya americana",0.771110773086548,1
"37","Aythya collaris",0.972988963127136,8
"38","Aythya marila",0.977794885635376,1
"39","Aythya valisineria",0.92415052652359,0
"40","Bombycilla cedrorum",0.951836168766022,8
"41","Bombycilla garrulus",0.689250826835632,0
"42","Bonasa umbellus",0.85699999332428,0
"43","Botaurus lentiginosus",0.921431422233582,0
"44","Brachyramphus marmoratus",0.98199999332428,7
"45","Branta bernicla",0.965809404850006,0
"46","Branta canadensis",0.979132294654846,41
"47","Branta hutchinsii",0.976416289806366,0
"48","Bubo scandiacus",0.97840142250061,0
"49","Bubo virginianus",0.954875230789185,0
"50","Bucephala albeola",0.979429125785828,15
"51","Bucephala clangula",0.977109968662262,9
"52","Bucephala islandica",0.970633506774902,29
"53","Buteo jamaicensis",0.965608716011047,5
"54","Buteo lagopus",0.956458330154419,0
"55","Buteo platypterus",0.489721715450287,0
"56","Buteo swainsoni",0.286430418491364,0
"57","Butorides virescens",0.730700254440308,0
"58","Calcarius lapponicus",0.950846374034882,0
"59","Calidris alba",0.972134113311768,0
"60","Calidris alpina",0.971350014209747,0
"61","Calidris bairdii",0.961228489875793,0
"62","Calidris himantopus",0.840711891651154,0
"63","Calidris mauri",0.970335483551025,0
"64","Calidris melanotos",0.911427557468414,0
"65","Calidris minutilla",0.937269568443298,0
"66","Calidris pusilla",0.96318531036377,0
"67","Calypte anna",0.840825974941254,19
"68","Cardellina pusilla",0.938915610313416,3
"69","Carduelis flammea",0.908536076545715,0
"70","Carduelis hornemanni",0.352999985218048,0
"71","Carduelis pinus",0.96399998664856,16
"72","Carduelis tristis",0.967420399188995,3
"73","Carpodacus cassinii",0.821140885353088,0
"74","Carpodacus mexicanus",0.983898043632507,7
"75","Carpodacus purpureus",0.969802916049957,3
"76","Cathartes aura",0.978658497333527,21
"77","Catharus fuscescens",0.0703982934355736,0
"78","Catharus guttatus",0.938605785369873,4
"79","Catharus ustulatus",0.950677037239075,1
"80","Catherpes mexicanus",0.0863734632730484,0
"81","Cepphus columba",0.989753663539886,3
"82","Cerorhinca monocerata",0.926760852336884,6
"83","Certhia americana",0.975896716117859,10
"84","Chaetura vauxi",0.969638645648956,0
"85","Charadrius semipalmatus",0.920918822288513,0
"86","Charadrius vociferus",0.943398416042328,1
"87","Chen caerulescens",0.976321041584015,6
"88","Chlidonias niger",0.331655770540237,0
"89","Chondestes grammacus",0.718741476535797,0
"90","Chordeiles minor",0.956106543540955,3
"91","Chroicocephalus philadelphia",0.965926826000214,2
"92","Circus cyaneus",0.908272683620453,0
"93","Cistothorus palustris",0.878269553184509,0
"94","Clangula hyemalis",0.973388850688934,1
"95","Coccothraustes vespertinus",0.950993835926056,1
"96","Colaptes auratus",0.956302464008331,30
"97","Contopus cooperi",0.906397104263306,1
"98","Contopus sordidulus",0.934829413890839,0
"99","Corvus brachyrhynchos",0.506167411804199,27
"100","Corvus caurinus",0.994000017642975,7
"101","Corvus corax",0.967822432518005,37
"102","Cyanocitta cristata",0.640421807765961,0
"103","Cyanocitta stelleri",0.976000010967255,16
"104","Cygnus buccinator",0.979647696018219,1
"105","Cygnus columbianus",0.895585179328918,0
"106","Cypseloides niger",0.969731867313385,1
"107","Dendragapus fuliginosus",0.96399998664856,1
"108","Dendragapus obscurus",0.924845099449158,0
"109","Dendroica petechia",0.946833729743958,2
"110","Dendroica townsendi",0.954972624778748,5
"111","Dolichonyx oryzivorus",0.396848767995834,0
"112","Dryocopus pileatus",0.967658221721649,39
"113","Dumetella carolinensis",0.574160099029541,0
"114","Empidonax alnorum",0.214846357703209,0
"115","Empidonax difficilis",0.97299998998642,5
"116","Empidonax flaviventris",0.335999995470047,0
"117","Empidonax hammondii",0.947380423545837,3
"118","Empidonax minimus",0.378771990537643,0
"119","Empidonax oberholseri",0.438104331493378,0
"120","Empidonax occidentalis",0.264921873807907,5
"121","Empidonax traillii",0.958747804164886,4
"122","Empidonax wrightii",0.081123910844326,0
"123","Eremophila alpestris",0.922934949398041,0
"124","Euphagus carolinus",0.896221697330475,0
"125","Euphagus cyanocephalus",0.889998972415924,0
"126","Falcipennis canadensis",0.534754037857056,0
