"","species","filepath","filename","sdm_max_value","taxon_group","n_obs_inat","n_obs_ebird","include"
"1","Accipiter cooperii","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Accipiter.cooperii_NAs_pu_mask.tif","Accipiter.cooperii_NAs_pu_mask.tif",0.976515829563141,"Bird",0,42,"y"
"2","Accipiter gentilis","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Accipiter.gentilis_NAs_pu_mask.tif","Accipiter.gentilis_NAs_pu_mask.tif",0.947767674922943,"Bird",0,0,NA
"3","Accipiter striatus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Accipiter.striatus_NAs_pu_mask.tif","Accipiter.striatus_NAs_pu_mask.tif",0.964999973773956,"Bird",2,62,"y"
"4","Acipenser transmontanus","RawData/2024_11_28_SDM_Bowen_Island//Fish_mask/Acipenser.transmontanus_NAs_pu_mask.tif","Acipenser.transmontanus_NAs_pu_mask.tif",NA,"Fish",2,NA,NA
"5","Acrocheilus alutaceus","RawData/2024_11_28_SDM_Bowen_Island//Fish_mask/Acrocheilus.alutaceus_NAs_pu_mask.tif","Acrocheilus.alutaceus_NAs_pu_mask.tif",NA,"Fish",0,NA,NA
"6","Actitis macularius","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Actitis.macularius_NAs_pu_mask.tif","Actitis.macularius_NAs_pu_mask.tif",0.95898562669754,"Bird",1,36,"y"
"7","Aechmophorus clarkii","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Aechmophorus.clarkii_NAs_pu_mask.tif","Aechmophorus.clarkii_NAs_pu_mask.tif",0.298371136188507,"Bird",0,0,NA
"8","Aechmophorus occidentalis","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Aechmophorus.occidentalis_NAs_pu_mask.tif","Aechmophorus.occidentalis_NAs_pu_mask.tif",0.962610423564911,"Bird",1,124,"y"
"9","Aegolius acadicus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Aegolius.acadicus_NAs_pu_mask.tif","Aegolius.acadicus_NAs_pu_mask.tif",0.950834810733795,"Bird",0,0,NA
"10","Aegolius funereus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Aegolius.funereus_NAs_pu_mask.tif","Aegolius.funereus_NAs_pu_mask.tif",0.711736977100372,"Bird",0,0,NA
"11","Aeronautes saxatalis","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Aeronautes.saxatalis_NAs_pu_mask.tif","Aeronautes.saxatalis_NAs_pu_mask.tif",NA,"Bird",0,0,NA
"12","Agelaius phoeniceus","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Agelaius.phoeniceus_NAs_pu_mask.tif","Agelaius.phoeniceus_NAs_pu_mask.tif",0.916041970252991,"Bird",14,481,"y"
"13","Aix sponsa","RawData/2024_11_28_SDM_Bowen_Island//Bird_mask/Aix.sponsa_NAs_pu_mask.tif","Aix.sponsa_NAs_pu_mask.tif",0.926335453987122,"Bird",10,261,"y"
"14","Ambystoma gracile","RawData/2024_11_28_SDM_Bowen_Island//Amphibian_mask/Ambystoma.gracile_NAs_pu_mask.tif","Ambystoma.gracile_NAs_pu_mask.tif",0.980000019073486,"Amphibian",45,NA,"y"
"15","Ambystoma macrodactylum","RawData/2024_11_28_SDM_Bowen_Island//Amphibian_mask/Ambystoma.macrodactylum_NAs_pu_mask.tif","Ambystoma.macrodactylum_NAs_pu_mask.tif",0.936645984649658,"Amphibian",7,NA,"y"
