"scientific_name","lowT","medT","highT","n_inat","n_ebird","lowT_cs","medT_cs","highT_cs"
"Accipiter cooperii",1,1,1,0,42,"both","both","both"
"Accipiter gentilis",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Accipiter striatus",1,1,1,2,62,"both","both","both"
"Actitis macularius",1,1,1,0,36,"both","both","both"
"Aechmophorus clarkii",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Aechmophorus occidentalis",1,1,1,1,124,"both","both","both"
"Aegolius acadicus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Aegolius funereus",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Aeronautes saxatalis",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Agelaius phoeniceus",1,1,1,11,481,"both","both","both"
"Aix sponsa",1,1,1,10,261,"both","both","both"
"Ammodramus savannarum",1,1,0,0,0,"sdm_only","sdm_only","sp_absent"
"Anas acuta",1,1,1,0,16,"both","both","both"
"Anas americana",1,1,1,0,40,"both","both","both"
"Anas clypeata",1,1,1,0,10,"both","both","both"
"Anas crecca",1,1,1,1,21,"both","both","both"
"Anas cyanoptera",1,1,1,0,2,"both","both","both"
"Anas discors",1,1,1,0,1,"both","both","both"
"Anas penelope",1,1,1,0,1,"both","both","both"
"Anas platyrhynchos",1,1,1,17,934,"both","both","both"
"Anas strepera",1,1,1,0,2,"both","both","both"
"Anser albifrons",1,1,1,2,12,"both","both","both"
"Anthus rubescens",1,1,1,0,4,"both","both","both"
"Aquila chrysaetos",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Archilochus alexandri",1,0,0,0,0,"sdm_only","sp_absent","sp_absent"
"Ardea herodias",1,1,1,13,830,"both","both","both"
"Arenaria melanocephala",1,1,1,3,152,"both","both","both"
"Asio flammeus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Asio otus",1,1,1,0,0,"sdm_only","sdm_only","sdm_only"
"Aythya affinis",1,1,1,1,91,"both","both","both"
"Aythya americana",1,1,0,0,6,"both","both","cs_only"
